name,domain,category,description,cool_fact,url,reviewed_on_solosgems,pricing,date_added
Murf AI,murf.ai,Voice & Music,AI voiceover generation aimed at studio-quality narration for videos and presentations.,Includes a built-in voice changer that converts your own recorded voice into polished narration.,https://murf.ai/,False,unlisted,2026-08-01
MyArchitectAI,myarchitectai.com,Interior Design,"Generates interior and exterior design renders from a photo or sketch, with a free tier covering 10 renders and 10 edits before $29/month plans kick in.","It renders both interior room redesigns and full exterior architectural concepts from the same tool, most competitors only do one or the other.",https://myarchitectai.com/,False,free,2026-08-08
MyFitnessPal,myfitnesspal.com,Health & Fitness,"AI-assisted food logging and calorie tracking, including logging a meal from a photo.",Can estimate a full meal's nutrition breakdown from a single photo instead of manual entry.,https://www.myfitnesspal.com/,False,unlisted,2026-08-01
n8n,n8n.io,Automation & Workflow,An open-source workflow automation platform that connects hundreds of apps together.,"Because it's open-source, you can self-host it for free instead of paying per task.",https://n8n.io/,False,unlisted,2026-08-01
Noom,noom.com,Health & Fitness,"An AI-assisted behavior-change program aimed at weight loss through psychology-based coaching, not just calorie counts.","Built around cognitive-behavioral psychology, focused on why people eat, not just what they eat.",https://www.noom.com/,False,unlisted,2026-08-01
NotebookLM,notebooklm.google,Research & Knowledge,Google's source-grounded AI notebook; free tier covers 100 notebooks and 50 chats a day.,"Refuses to answer from general knowledge, every response is grounded in the documents you actually upload.",https://solosgems.com/reviews/notebooklm.html,True,free,2026-08-01
Notion AI,notion.com,Productivity & Notes,Notion's AI layer now requires the $20/user/month Business plan.,Can build a tracker or database directly from a meeting summary you paste in.,https://solosgems.com/reviews/notion-ai.html,True,paid,2026-08-01
Notion Mail,notion.com,Email & Messaging,"An inbox built with Notion's UI that auto-labels incoming email and can reference your Notion pages directly from AI, though AI features require a Business plan or higher.","Notion retired its standalone $10 AI add-on in 2025, so Notion Mail's AI features now require a Business or Enterprise plan, no a la carte option anymore.",https://www.notion.com/product/mail,False,paid,2026-08-16
NovelAI,novelai.net,Writing & Copywriting,"A subscription AI tool for fiction writing and anime-style image generation, built by a small studio called Anlatan.",Bundles a fiction-tuned text model and an anime-trained image model in the same private workspace.,https://novelai.net/,False,unlisted,2026-08-08
Numerous.ai,numerous.ai,Data & Analytics,"AI formulas that live inside Google Sheets and Excel, from $8/month billed yearly.",Lets you write a plain-language instruction as a spreadsheet formula instead of a nested function.,https://solosgems.com/reviews/numerous-ai.html,True,paid,2026-08-01
Obviously AI,obviously.ai,Data & Analytics,"No-code predictive modeling, upload a spreadsheet and get a working machine learning prediction in minutes.",Built specifically so a non-technical business user can train a real ML model without writing any code.,https://www.obviously.ai/,False,unlisted,2026-08-01
Ocoya,ocoya.com,Marketing & Social Media,"AI social media scheduling and caption generation across 30+ platforms, with a free tier to start and paid plans from $19/month.","It bundles AI copywriting directly into the scheduling calendar, so captions, hashtags, and post variations get generated on the same screen where you queue the post.",https://www.ocoya.com/,False,free,2026-08-08
OpusClip,opus.pro,Video Generation,"Turns long-form video into short social clips automatically, from $15/month.",Scores every auto-generated clip by predicted engagement before you post it.,https://solosgems.com/reviews/opusclip.html,True,paid,2026-08-01
Originality.ai,originality.ai,AI Detection & Plagiarism,Combines AI-content detection with traditional plagiarism checking in one tool aimed at publishers and agencies.,Built specifically for content teams who need to verify a writer's submission wasn't AI-generated before paying for it.,https://originality.ai/,False,unlisted,2026-08-01
Otter.ai,otter.ai,Meetings & Transcription,Real-time meeting transcription and summaries; Business tier bills a 5-seat minimum.,Can join a call automatically and start transcribing without anyone manually starting a recorder.,https://solosgems.com/reviews/otter-ai.html,True,unlisted,2026-08-01
PandaDoc,pandadoc.com,Legal,"AI-assisted proposals, quotes, contracts, and e-signatures in one document workflow.","Tracks exactly when a recipient opens and scrolls through a document, before they ever sign it.",https://www.pandadoc.com/,False,unlisted,2026-08-01
Paradox,paradox.ai,HR & Recruiting,A conversational AI recruiting assistant (Olivia) that screens candidates and schedules interviews by text and chat.,"Handles high-volume hourly hiring for retail and healthcare chains, where speed to first contact matters most.",https://www.paradox.ai/,False,unlisted,2026-08-01
Perplexity Comet,perplexity.ai,AI Search & Browsing,"Perplexity's AI-native web browser that reads, researches, and can act on the page you're viewing.","Free for all Perplexity account holders, unusual for a browser built around a paid AI subscription product.",https://comet.perplexity.ai/,False,free,2026-08-01
Perplexity Pro,perplexity.ai,AI Assistants,"Cited, sourced AI search; a nice-to-have if you already pay for another AI assistant.","Answers link directly back to the specific source they came from, not just a generic citation list.",https://solosgems.com/reviews/perplexity-pro.html,True,unlisted,2026-08-01
Photoroom,photoroom.com,Design & Photography,"AI background removal and product photo editing, from $7.50/month billed yearly.",Purpose-built for e-commerce product photos rather than general design work.,https://solosgems.com/reviews/photoroom.html,True,paid,2026-08-01
Pictory,pictory.ai,Video Generation,"Turns long-form video, blog posts, or scripts into short, branded video clips automatically.","Can generate a finished short video directly from a blog post URL, no footage of your own required.",https://pictory.ai/,False,unlisted,2026-08-01
Pika,pika.art,Video Generation,"An AI video generator focused on quick, stylized clips and creative effects.","Popular for its one-click visual effects library, objects exploding, melting, and transforming.",https://pika.art/,False,unlisted,2026-08-01
PixVerse,pixverse.ai,Video Generation,An AI video generator focused on fast text-to-video and image-to-video clips with built-in style templates.,"Includes a library of one-click effect templates, aimed at quick social clips rather than long-form production work.",https://pixverse.ai/,False,unlisted,2026-08-08
Play.ht,play.ht,Voice & Music,"AI text-to-speech and voice cloning aimed at podcasts, audiobooks, and apps.",Offers ultra-realistic voice cloning from just a short audio sample.,https://play.ht/,False,unlisted,2026-08-01
Plus AI,plusai.com,Presentations & Design,An AI slide generator that works as an add-on directly inside Google Slides and PowerPoint.,"Builds and edits decks inside the presentation software you already use, instead of a separate app to export from.",https://www.plusai.com/,False,unlisted,2026-08-01
Podium,podium.com,Local Business,"AI-assisted text messaging, review requests, and lead follow-up built for local service businesses.","Built specifically to move phone and walk-in leads into text conversations, where response rates run far higher.",https://www.podium.com/,False,unlisted,2026-08-01
Poe,poe.com,AI Assistants,Quora's chat platform that gives you access to dozens of different AI models under one subscription.,"Lets you compare answers from GPT, Claude, Gemini, and other models side by side in the same place.",https://poe.com/,False,unlisted,2026-08-01
ProWritingAid,prowritingaid.com,Writing & Copywriting,"An AI-enhanced grammar and style editor built for long-form writing like novels and manuscripts, not just short-form copy.","Runs dozens of specialized reports, pacing, dialogue tags, sentence-length variation, well beyond a basic grammar check.",https://prowritingaid.com/,False,unlisted,2026-08-08
QuickBooks Solopreneur,quickbooks.intuit.com,Bookkeeping & Finance,"Bookkeeping built for one-person Schedule-C businesses, not a scaled-down QuickBooks Online.","Built from scratch specifically for one-person businesses, not just a trimmed-down version of the full product.",https://solosgems.com/reviews/quickbooks-solopreneur.html,True,unlisted,2026-08-01
QuillBot,quillbot.com,AI Detection & Plagiarism,A paraphrasing and grammar tool that also includes a free AI detector and plagiarism checker.,Started purely as a paraphrasing tool before expanding into detection as AI-written text became common to check for.,https://quillbot.com/,False,unlisted,2026-08-01
Quizlet,quizlet.com,Education & Tutoring,AI-assisted flashcards and study tools that generate practice questions from your own notes.,Can turn a pasted set of class notes into a full practice test in seconds.,https://quizlet.com/,False,unlisted,2026-08-01
Rask AI,rask.ai,Video Generation,"AI dubbing and lip-sync that translates a video into another language, matching mouth movements to the new audio.",Clones the original speaker's voice into 130+ languages instead of swapping in a generic narrator.,https://www.rask.ai/,False,unlisted,2026-08-01
Reclaim.ai,reclaim.ai,Scheduling & Time,"An AI calendar tool that auto-schedules habits, focus time, and tasks around your existing meetings.","Automatically defends time for recurring habits like exercise or deep work, rescheduling them if a meeting collides.",https://reclaim.ai/,False,unlisted,2026-08-01
Recraft,recraft.ai,Image Generation,"AI image generation built for designers: brand-consistent graphics, icons, and layouts.","One of the only AI image tools that natively outputs scalable SVG files, not just flat images.",https://www.recraft.ai/,False,unlisted,2026-08-01
Recruiterflow,recruiterflow.com,HR & Recruiting,A combined applicant tracking system and CRM built specifically for recruitment agencies.,"Bundles one of the largest suites of AI recruiting agents into a single platform, from sourcing to outreach.",https://recruiterflow.com/,False,unlisted,2026-08-01
Reflect,reflect.app,Productivity & Notes,"A networked note-taking app with AI built in, designed around linking ideas together over time.",Syncs in real time across every device with no manual save step.,https://reflect.app/,False,unlisted,2026-08-01
RemodelAI,remodelai.io,Interior Design,"Photorealistic room redesigns from a single photo, plus exterior, virtual staging, and paint-color tools.",Offers 30+ distinct design styles and lets you try several before committing to a real renovation.,https://www.remodelai.io/,False,unlisted,2026-08-01
Replit Agent,replit.com,Coding & Dev Tools,"A browser-based AI agent that builds, runs, and deploys full-stack apps inside Replit's IDE.","Handles the whole stack, servers, databases, and publishing, without anything installed locally.",https://replit.com/,False,unlisted,2026-08-01
Respeecher,respeecher.com,Voice & Music,"Ethical AI voice cloning built for film, game, and dubbing studios, with consent-based licensing per voice.","Requires the original voice owner's explicit consent for every clone, built specifically to avoid deepfake misuse.",https://www.respeecher.com/,False,unlisted,2026-08-01
Rev,rev.com,Accessibility,"AI plus human-reviewed captions, transcripts, and subtitles built for accessibility compliance.","Blends AI speed with human review, useful when captions need to be legally accurate, not just close enough.",https://www.rev.com/,False,unlisted,2026-08-01
Rezi,rezi.ai,Career & Job Search,"An ATS-safe AI resume builder aimed specifically at tech job seekers, sold as a lifetime plan.",Built its formatting specifically to survive strict ATS parsing rather than to look good to a human first.,https://www.rezi.ai/,False,unlisted,2026-08-01
Riverside.fm,riverside.fm,Podcasting & Video Editing,Studio-quality remote podcast and video recording with local-device recording.,"Records each guest locally at full quality, so a bad internet connection doesn't degrade the final file.",https://solosgems.com/reviews/riverside.html,True,unlisted,2026-08-01
Robin AI,robinai.com,Legal,An AI contract review and negotiation assistant used by legal and business teams to speed up redlining.,Can compare a contract against a company's own playbook and flag every clause that deviates from it.,https://www.robinai.com/,False,unlisted,2026-08-01
Rocket Money,rocketmoney.com,Personal Finance,"Tracks spending, subscriptions, and net worth, and can negotiate bills or cancel subscriptions on your behalf.","Will actually call and negotiate a lower bill for you, not just flag that a bill went up.",https://www.rocketmoney.com/,False,unlisted,2026-08-01
Rows,rows.com,Data & Analytics,A spreadsheet built with AI formulas and live data connectors baked in from the start.,"Can pull live data directly from APIs and other apps into a cell, instead of a manual copy-paste import.",https://rows.com/,False,unlisted,2026-08-01
Runway,runwayml.com,Video Generation,"AI video generation and editing for solo creators, from $15/month.",Its Act-Two feature captures a real performance and maps it onto a generated character.,https://solosgems.com/reviews/runway.html,True,paid,2026-08-01
Rytr,rytr.me,Writing & Copywriting,"A budget AI writing assistant covering short-form marketing copy, emails, and social posts.","Its free plan supports a genuinely usable monthly character allowance, not just a one-time trial.",https://rytr.me/,False,free,2026-08-01
Seeking Alpha Premium,seekingalpha.com,Investing & Markets,"AI-assisted stock research that summarizes earnings, analyst ratings, and financial data into a single report per stock.",Its Virtual Analyst Reports condense hours of financial-statement reading into one structured summary.,https://seekingalpha.com/,False,unlisted,2026-08-01
Semrush,semrush.com,SEO,"A comprehensive SEO research platform with AI-assisted content and keyword tools, from $139.95/month.","Widely considered the most capable SEO tool in its category, though the price is overkill unless organic content is your core growth channel.",https://solosgems.com/reviews/semrush.html,True,paid,2026-08-01
Shopify Magic,shopify.com,E-commerce,"AI features built directly into Shopify: product descriptions, email content, and image editing.","Included at no extra cost inside every Shopify plan, rather than sold as a separate add-on.",https://www.shopify.com/magic,False,unlisted,2026-08-01
Shortwave,shortwave.com,Email & Messaging,AI email client that triages and summarizes your inbox; $18/seat/month for Pro.,Lets you search your inbox in plain language instead of exact keyword matching.,https://solosgems.com/reviews/shortwave.html,True,paid,2026-08-01
Sider,sider.ai,AI Assistants,"A browser sidebar extension that puts GPT, Claude, Gemini, and 20+ other models on any webpage, summarizing pages, chatting with PDFs, and translating without switching tabs.",Started in 2019 as a simple ChatGPT sidebar and has grown into a platform with over 10 million active users.,https://sider.ai/,False,unlisted,2026-08-16
Simplified,simplified.com,Marketing & Social Media,"A bundled marketing suite combining a no-code design editor, AI writer, video editor, and social scheduler in one subscription, aimed at small teams that don't want five separate tools.","The free plan's AI writing credits are a one-time allotment of about 5,000 words that never renews, everything after that requires upgrading.",https://simplified.com/,False,free,2026-08-16
Soundraw,soundraw.io,Voice & Music,"Generates royalty-free AI music customized by mood, genre, and length for videos and content.","Lets you edit the structure of a generated track, swapping sections in and out, instead of taking it as-is.",https://soundraw.io/,False,unlisted,2026-08-01
Spellbook,spellbook.com,Legal,"AI contract drafting and review that runs natively inside Microsoft Word, aimed at small and mid-size law firms.",Flags risky clauses and suggests redlines directly in the Word document a lawyer is already working in.,https://www.spellbook.com/,False,unlisted,2026-08-01
Stable Diffusion,stability.ai,Image Generation,"An open-weight image generation model that anyone can download, run locally, and fine-tune.","Because it's open-weight, it spawned an entire ecosystem of community fine-tunes and tools built on top of it.",https://stability.ai/,False,unlisted,2026-08-01
StoryChief,storychief.io,Marketing & Social Media,"A content marketing platform that plans, writes, and distributes posts across blog, social, and email at once.","Its AI writing assistant is connected to live SEO data, not just general-purpose chat.",https://storychief.io/,False,unlisted,2026-08-01
Sudowrite,sudowrite.com,Writing & Copywriting,"An AI writing tool built specifically for fiction writers, novels, short stories, and worldbuilding.",Its Story Bible feature tracks your characters and plot so the AI stays consistent across a long manuscript.,https://sudowrite.com/,False,unlisted,2026-08-01
Suno,suno.com,Voice & Music,"AI music generation that turns a text prompt into a full song with vocals and structure, from $8/month billed yearly.","Its latest model closes most of the uncanny valley in AI vocals, they sound like a real singer now.",https://solosgems.com/reviews/suno.html,True,paid,2026-08-01
Superhuman,superhuman.com,Email & Messaging,"A premium, keyboard-shortcut-driven email client for Gmail and Outlook whose Auto Drafts feature writes full reply drafts in your voice before you even open the email.","Starts at $30/month with no free tier, one of the more expensive ways to check email on this entire list.",https://superhuman.com/,False,paid,2026-08-16
Superwhisper,superwhisper.com,Voice Dictation,"AI voice dictation for Mac and iOS that types in any app, running on local AI models, free or $8.49/month for cloud models and file transcription.","Runs entirely on-device using local AI models, so the free tier works offline with no word cap and no account required.",https://superwhisper.com/,False,free,2026-08-08
Surfer SEO,surferseo.com,SEO,AI content optimization that scores a draft against what's actually ranking on the live search results page.,"Rescans the live SERP each time, so its recommendations shift as competing pages change, not a static checklist.",https://surferseo.com/,False,unlisted,2026-08-01
Synthesia,synthesia.io,Video Generation,"Turns a script into a talking-avatar video, from $14/month.",Offers 125+ AI avatars to choose from without ever appearing on camera yourself.,https://solosgems.com/reviews/synthesia.html,True,paid,2026-08-01
Tabnine,tabnine.com,Coding & Dev Tools,"An AI code-completion tool that can run fully privately, on your own infrastructure or offline.","One of the earliest AI coding tools on the market, it predates most of today's AI-native code editors.",https://www.tabnine.com/,False,unlisted,2026-08-01
Tana,tana.inc,Productivity & Notes,A node-based notes app where every piece of information is a structured object with its own properties.,Its 'supertag' system applies consistent structure and AI auto-tagging across your whole knowledge base as you type.,https://tana.inc/,False,unlisted,2026-08-01
Teal,tealhq.com,Career & Job Search,An AI resume builder with a built-in job tracker for managing multiple applications at once.,Its Job Matcher feature highlights exactly which skills and keywords a resume is missing for a specific job post.,https://www.tealhq.com/,False,unlisted,2026-08-01
Tidio,tidio.com,Customer Support,AI chatbot and live chat aimed at small online stores that need support coverage without a support team.,Built specifically for small e-commerce sellers rather than enterprise support desks.,https://www.tidio.com/,False,unlisted,2026-08-01
Toggl Track,toggl.com,Scheduling & Time,Time tracking with AI-assisted categorization; free for up to 5 users.,"Free plan supports up to 5 users at no cost, unusually generous for a time tracker.",https://solosgems.com/reviews/toggl-track.html,True,free,2026-08-01
Tripo AI,tripo3d.ai,3D & Game Dev,"Text or image-to-3D generation built for speed, exporting directly to game engine-friendly formats.","Can produce a usable 3D model in as little as 8 seconds, with bridges into Blender, Unity, and Unreal.",https://www.tripo3d.ai/,False,unlisted,2026-08-01
Typeform,typeform.com,Forms & Surveys,"Conversational forms and surveys with AI-assisted question generation, from $28/month.","Presents one question at a time in a full-screen format, which measurably raises completion rates.",https://solosgems.com/reviews/typeform.html,True,paid,2026-08-01
Udio,udio.com,Voice & Music,"AI music generation known for coherent full songs with mixed, separable tracks.","Exports separate vocal, drum, bass, and instrument stems so you can remix the output in real music software.",https://www.udio.com/,False,unlisted,2026-08-01
Uizard,uizard.io,Presentations & Design,An AI tool that turns rough sketches or text prompts into clickable app and website mockups.,Can convert a photo of a hand-drawn wireframe into an editable digital design.,https://uizard.io/,False,unlisted,2026-08-01
v0,v0.dev,Coding & Dev Tools,"Vercel's AI tool that generates real, working frontend UI code from a prompt or screenshot, free or from $30/user/month.",Generated components deploy straight to Vercel's hosting with zero extra setup.,https://solosgems.com/reviews/vercel-v0.html,True,free,2026-08-01
Vanna AI,vanna.ai,No-code / Database,An open-source framework for building your own text-to-SQL assistant on top of your database.,"Because it's open-source, developers can self-host it and fine-tune it on their own schema instead of using a black box.",https://vanna.ai/,False,unlisted,2026-08-01
Vapi,vapi.ai,AI Phone Agents,A developer platform for building AI voice agents that can answer or make phone calls.,"Combines speech recognition, an AI model, and text-to-speech into one API, no stitching three services together.",https://vapi.ai/,False,unlisted,2026-08-01
Veo,labs.google,Video Generation,"Google's AI video generation model, built into Gemini and Google's creative tools.",Frequently cited as one of the top overall picks for AI video quality among current models.,https://labs.google/,False,unlisted,2026-08-01
Virtual Staging AI,virtualstagingai.app,Real Estate,Digitally furnishes an empty listing photo with AI-generated furniture instead of hiring a staging company.,"Turns an empty room photo into a fully furnished one in under a minute, at a fraction of physical staging cost.",https://www.virtualstagingai.app/,False,unlisted,2026-08-01
Warp,warp.dev,Coding & Dev Tools,"An AI-native terminal that pairs a fast, GPU-rendered shell with an agent mode that can plan and run multi-step coding tasks directly in your command line.","Free users can bring their own OpenAI, Anthropic, or Google API key instead of paying for Warp's own AI credits.",https://www.warp.dev/,False,unlisted,2026-08-16
Webflow,webflow.com,Website & App Builders,"A visual website builder with AI site-generation features, producing clean, exportable code under the hood.","Generates real, semantic HTML and CSS you can inspect and export, not a proprietary black-box format.",https://webflow.com/,False,unlisted,2026-08-01
Whoop,whoop.com,Health & Fitness,"A wearable that tracks recovery, sleep, and strain, with AI-driven coaching insights.",Gives a daily recovery score that adjusts recommended training intensity based on how well you actually slept.,https://www.whoop.com/,False,unlisted,2026-08-01
Willow Voice,willowvoice.com,Voice Dictation,"Cross-platform AI dictation for Mac, Windows, and iOS with style memory that learns how you write, from a free tier of 2,000 words a week up to $15/month for unlimited use.","Its iPhone keyboard now ships with free, unlimited AI dictation built in, a rare case of a paid tool's core feature going free on mobile.",https://willowvoice.com/,False,free,2026-08-08
Windsurf,windsurf.com,Coding & Dev Tools,An AI-powered code editor whose Cascade agent handles multi-step coding tasks while you stay in the loop.,"Now owned by Cognition, the same company behind the autonomous coding agent Devin.",https://windsurf.com/,False,unlisted,2026-08-01
Wispr Flow,wisprflow.ai,Voice Dictation,"AI voice dictation that writes in your own tone across any app on your computer, free or $12/user/month.","Works system-wide, not just inside one app, so it dictates into email, Slack, or a code editor alike.",https://solosgems.com/reviews/wispr-flow.html,True,free,2026-08-01
Wix,wix.com,Website & App Builders,A website builder with an AI chat-based setup wizard that generates a starting site from a short conversation.,"Its AI assistant asks about your business first, then generates a tailored starting site instead of a generic template.",https://www.wix.com/,False,unlisted,2026-08-01
Wiz,wiz.io,Cybersecurity,Agentless AI cloud security that scans an entire cloud environment without installing anything on individual machines.,Can map a full cloud environment's risk exposure without ever installing an agent on a single server.,https://www.wiz.io/,False,unlisted,2026-08-01
Writesonic,writesonic.com,Writing & Copywriting,"An AI writing tool aimed at marketing copy, blog posts, and SEO-optimized articles at scale.","Bundles an AI chatbot, article writer, and image generator into one subscription.",https://writesonic.com/,False,unlisted,2026-08-01
You.com,you.com,AI Search & Browsing,An AI search engine that lets you choose which underlying model answers your query.,"Offers over 30 specialized AI agents built for different tasks like research, writing, and coding.",https://you.com/,False,unlisted,2026-08-01
Zapier AI Actions,zapier.com,Automation & Workflow,AI decision-making steps inside Zapier automations; new pricing model is easy to overspend on.,"Connects thousands of different apps together, the largest integration library in the category.",https://solosgems.com/reviews/zapier-ai.html,True,unlisted,2026-08-01
